WL_HOME,FGA_HOME,FTA_HOME,TOV_HOME,PTS_HOME,FGA_AWAY,FTA_AWAY,TOV_AWAY,PTS_AWAY
L,,29.0,,66,,26.0,,68
W,59.0,,,56,72.0,,,51
W,,,,63,,,,47
W,,,,59,,,,53
L,,,,33,,,,50
W,,,,71,,,,60
L,,,,56,,,,71
L,,,,55,,,,57
L,,,,49,,,,53
W,,39.0,,81,,28.0,,75
L,104.0,20.0,,63,89.0,23.0,,68
W,,,,73,,,,65
W,,26.0,,73,,23.0,,71
W,,,,76,,,,66
W,,,,64,,,,54
W,,,,69,,,,46
W,,,,70,,,,69
W,,,,92,,,,68
L,,,,68,,,,78
W,,35.0,,84,,42.0,,71
W,,,,71,,,,61
L,,,,68,,,,70
W,,,,68,,,,65
W,,,,64,,,,62
W,,28.0,,85,,34.0,,68
W,,,,53,,,,49
W,,,,64,,,,62
L,,,,59,,,,70
L,,,,65,,,,73
W,120.0,22.0,,83,117.0,24.0,,74
L,,,,76,,,,78
W,,,,61,,,,57
W,,,,54,,,,48
L,,,,63,,,,66
L,,21.0,,72,,22.0,,74
W,,,,72,,,,69
W,,,,54,,,,51
L,,,,53,,,,54
L,,,,53,,,,65
L,,,,63,,,,65
L,,20.0,,58,,24.0,,66
W,,,,83,,,,82
W,,,,74,,,,50
W,,,,54,,,,46
L,,,,59,,,,65
W,,29.0,,82,,22.0,,76
L,,,,55,,,,68
W,,20.0,,62,,20.0,,60
L,,,,59,,,,71
L,,,,46,,,,62
W,,,,66,,,,54
L,,,,68,,,,78
W,,,,66,,,,46
W,,,,67,,,,60
W,,,,75,,,,67
W,,,,62,,,,60
W,,,,59,,,,55
L,,,,55,,,,68
L,,22.0,,72,,22.0,,75
L,,,,58,,,,60
L,,25.0,,72,,28.0,,87
W,,,,64,,,,60
W,,,,79,,,,65
W,,,,49,,,,40
W,95.0,,,60,83.0,,,57
W,,,,66,,,,56
W,,22.0,,49,,18.0,,47
L,,17.0,,44,,21.0,,46
W,,,,76,,,,68
W,,,,70,,,,57
W,,,,80,,,,62
L,,24.0,,46,,22.0,,57
L,,,,61,,,,65
W,,,,62,,,,51
W,89.0,,,66,76.0,,,55
L,,22.0,,61,,28.0,,65
L,,,,65,,,,90
L,,35.0,,59,,23.0,,68
W,,,,75,,,,64
W,,28.0,,86,,30.0,,78
L,104.0,,,47,74.0,,,57
W,,,,62,,,,44
W,,,,72,,,,66
L,,,,58,,,,66
L,,,,73,,,,85
L,,23.0,,61,,16.0,,62
W,,,,83,,,,68
W,,23.0,,88,,35.0,,79
W,,,,81,,,,66
W,,,,73,,,,66
L,,18.0,,49,,13.0,,64
L,,,,68,,,,88
L,,15.0,,52,,17.0,,62
W,,,,77,,,,65
W,,21.0,,72,,24.0,,52
W,,,,81,,,,66
W,,,,84,,,,75
L,87.0,,,46,83.0,,,50
W,,,,70,,,,52
L,,,,55,,,,66
W,,,,57,,,,49
W,,20.0,,78,,14.0,,62
L,,,,53,,,,56
W,,30.0,,68,,14.0,,47
L,,,,74,,,,76
W,,22.0,,58,,17.0,,44
W,,36.0,,81,,33.0,,77
W,,,,74,,,,70
W,,21.0,,68,,21.0,,56
W,,25.0,,63,,23.0,,61
W,,33.0,,95,,34.0,,92
W,82.0,31.0,,65,81.0,22.0,,53
L,,27.0,,74,,25.0,,78
W,,25.0,,64,,26.0,,54
W,,19.0,,53,,14.0,,46
L,,28.0,,66,,21.0,,78
W,84.0,,,55,62.0,,,51
L,,,,60,,,,63
L,,,,80,,,,88
W,,30.0,,80,,22.0,,68
W,,15.0,,70,,17.0,,49
W,104.0,,,75,92.0,,,68
L,,20.0,,48,,21.0,,52
L,,,,79,,,,87
L,,,,60,,,,62
L,,,,60,,,,70
L,,12.0,,59,,24.0,,68
W,,,,87,,,,76
L,,,,90,,,,103
L,,22.0,,48,,24.0,,61
W,,,,62,,,,57
W,,,,84,,,,72
W,,,,66,,,,57
L,,,,53,,,,58
W,,,,78,,,,74
W,,,,78,,,,64
L,,,,50,,,,62
L,81.0,,,57,78.0,,,59
L,,,,53,,,,64
L,,,,49,,,,63
W,,,,76,,,,61
L,,,,63,,,,76
W,,,,77,,,,69
W,,,,67,,,,63
L,,,,80,,,,83
W,,,,74,,,,55
W,,29.0,,91,,23.0,,68
W,,,,84,,,,81
W,,,,66,,,,62
W,,18.0,,81,,20.0,,66
L,,,,72,,,,73
W,,,,58,,,,56
W,,25.0,,75,,40.0,,72
W,92.0,,,72,84.0,,,59
L,,,,50,,,,53
L,,,,74,,,,78
L,,,,74,,,,104
L,,,,63,,,,65
W,,15.0,,65,,23.0,,53
W,,,,68,,,,59
W,,,,47,,,,38
L,,,,78,,,,84
L,108.0,,,59,97.0,,,63
L,,,,64,,,,74
L,,21.0,,45,,24.0,,58
W,,23.0,,87,,22.0,,72
W,108.0,,,69,107.0,,,53
W,,19.0,,79,,17.0,,72
L,,,,54,,,,81
W,,33.0,,62,,17.0,,57
W,,,,59,,,,43
W,,,,72,,,,71
W,,,,74,,,,64
W,,19.0,,57,,23.0,,55
L,,17.0,,47,,26.0,,61
W,,,,48,,,,43
W,,,,97,,,,76
W,,36.0,,83,,32.0,,78
L,,37.0,,93,,34.0,,96
L,,,,46,,,,52
W,,,,84,,,,71
L,,,,55,,,,61
W,88.0,,,71,97.0,,,66
W,,,,63,,,,57
L,,,,57,,,,80
W,,,,71,,,,63
L,,,,82,,,,88
W,,27.0,,80,,25.0,,70
W,,,,64,,,,60
W,,18.0,,69,,19.0,,57
L,,,,73,,,,83
W,,,,66,,,,51
W,,,,65,,,,58
L,111.0,,,70,97.0,,,82
W,,27.0,,83,,29.0,,74
L,,,,63,,,,71
W,,,,89,,,,73
W,115.0,,,70,80.0,,,48
W,,,,90,,,,75
W,,,,65,,,,63
L,,,,81,,,,107
W,,,,61,,,,55
W,,,,68,,,,63
W,,,,75,,,,68
L,,,,46,,,,71
L,,,,55,,,,58
L,,,,46,,,,67
W,,,,49,,,,48
W,,,,79,,,,61
L,,,,65,,,,73
W,,,,109,,,,85
W,,27.0,,69,,26.0,,46
W,,31.0,,67,,29.0,,58
L,,,,65,,,,68
W,,,,64,,,,58
W,,18.0,,85,,21.0,,67
L,,24.0,,69,,32.0,,74
W,,25.0,,75,,31.0,,69
W,,22.0,,75,,21.0,,59
W,,,,85,,,,76
W,,,,78,,,,72
L,,,,82,,,,101
W,,,,84,,,,64
W,,,,64,,,,54
W,,28.0,,61,,22.0,,48
W,,,,81,,,,79
W,,,,84,,,,73
L,,,,84,,,,90
W,,,,82,,,,72
W,,22.0,,70,,26.0,,60
W,,,,84,,,,77
W,107.0,17.0,,80,101.0,33.0,,64
W,,,,75,,,,71
L,,,,58,,,,66
W,,,,63,,,,59
W,,,,65,,,,57
W,,19.0,,84,,23.0,,73
L,,,,62,,,,69
W,,,,69,,,,59
L,,,,51,,,,57
W,,29.0,,78,,28.0,,66
L,,,,74,,,,76
L,,,,74,,,,82
W,,,,77,,,,49
W,,,,65,,,,60
W,,,,67,,,,61
W,,,,85,,,,77
W,,,,93,,,,61
L,,,,55,,,,67
W,,,,82,,,,68
W,105.0,,,71,95.0,,,66
L,,,,83,,,,91
W,,,,61,,,,52
W,,,,83,,,,59
L,,,,67,,,,69
L,,,,76,,,,96
W,,,,83,,,,60
L,,,,60,,,,84
W,,,,75,,,,65
L,,36.0,,53,,28.0,,74
L,,,,68,,,,72
L,,,,65,,,,73
W,,,,69,,,,62
W,,,,77,,,,69
W,,25.0,,63,,30.0,,48
W,,,,80,,,,74
W,,,,75,,,,52
W,,,,98,,,,86
W,,,,72,,,,69
W,,25.0,,76,,23.0,,66
L,,27.0,,66,,38.0,,69
W,126.0,20.0,,71,104.0,23.0,,70
W,,21.0,,82,,19.0,,76
W,,,,99,,,,67
L,,,,60,,,,63
W,,,,74,,,,65
L,,,,59,,,,61
W,,,,72,,,,71
L,,,,70,,,,86
W,,22.0,,67,,27.0,,65
W,,,,64,,,,61
W,,,,74,,,,73
W,,,,107,,,,81
L,,,,77,,,,107
L,,,,70,,,,87
L,,27.0,,77,,30.0,,80
W,,,,78,,,,72
W,,31.0,,79,,20.0,,71
W,,,,69,,,,57
L,,36.0,,81,,36.0,,89
W,,,,78,,,,74
W,,,,81,,,,57
L,,,,69,,,,86
W,,,,71,,,,64
W,,,,70,,,,67
W,,,,78,,,,63
W,,,,60,,,,56
L,,,,61,,,,67
L,,,,69,,,,81
L,,,,58,,,,67
L,,,,64,,,,70
L,,,,59,,,,68
L,,,,57,,,,65
L,,,,54,,,,79
W,,,,96,,,,95
W,,,,77,,,,75
W,94.0,,,51,83.0,,,49
W,,,,76,,,,73
L,,,,83,,,,99
L,,,,58,,,,67
L,,,,63,,,,68
L,,,,82,,,,103
W,,21.0,,85,,26.0,,65
W,90.0,,,60,83.0,,,40
W,,20.0,,69,,21.0,,63
L,,,,69,,,,80
L,,,,51,,,,65
W,,,,72,,,,64
W,,,,91,,,,84
L,,,,61,,,,74
W,,,,105,,,,77
L,,,,63,,,,67
W,,,,80,,,,73
W,,,,71,,,,61
W,,26.0,,66,,22.0,,63
W,,21.0,,79,,18.0,,69
W,90.0,,,59,93.0,,,55
W,,,,83,,,,79
W,,,,76,,,,72
L,,,,66,,,,71
W,118.0,,,73,92.0,,,66
W,,19.0,,63,,24.0,,55
W,,28.0,,80,,26.0,,65
W,,33.0,,79,,20.0,,64
W,,41.0,,85,,30.0,,74
W,,41.0,,80,,31.0,,70
L,,,,74,,,,79
W,,,,73,,,,67
W,,,,73,,,,69
L,,21.0,,78,,33.0,,80
L,,,,63,,,,67
L,,,,50,,,,65
L,,,,69,,,,87
L,,,,63,,,,81
W,,,,74,,,,67
L,110.0,20.0,,57,74.0,22.0,,67
W,,23.0,,68,,15.0,,56
W,113.0,,,73,84.0,,,67
W,,,,81,,,,77
L,,24.0,,73,,31.0,,89
L,,,,78,,,,83
W,,,,65,,,,62
W,,,,70,,,,62
W,,34.0,,75,,23.0,,72
L,,,,75,,,,91
L,,,,63,,,,65
W,,,,83,,,,64
L,105.0,29.0,,59,95.0,23.0,,81
L,,21.0,,61,,20.0,,76
W,,,,92,,,,83
W,,19.0,,75,,28.0,,71
L,,21.0,,67,,23.0,,71
L,,,,78,,,,85
L,,,,62,,,,70
L,,,,66,,,,86
L,,18.0,,69,,26.0,,77
L,,26.0,,58,,22.0,,73
W,,,,81,,,,73
L,,19.0,,51,,22.0,,65
W,,,,73,,,,69
W,,,,73,,,,65
L,,,,85,,,,114
W,,,,71,,,,56
W,112.0,32.0,,78,125.0,21.0,,74
L,,,,75,,,,79
L,,40.0,,69,106.0,33.0,,74
L,,42.0,,69,,32.0,,71
W,,,,69,,,,67
L,,,,75,,,,85
L,,31.0,,66,,30.0,,80
W,,,,88,,,,72
L,,,,71,,,,74
W,,,,67,,,,66
W,,24.0,,66,,24.0,,64
L,105.0,24.0,,71,124.0,26.0,,99
L,,,,64,,,,70
W,,35.0,,74,,28.0,,67
W,,,,78,,,,70
W,,,,70,,,,58
L,,,,52,,,,55
L,,,,74,,,,80
W,,,,93,,,,83
L,,,,75,,,,83
W,,,,66,,,,58
W,,,,89,,,,75
W,,34.0,,87,,40.0,,70
L,,,,56,,,,73
W,,,,89,,,,61
W,,,,74,,,,63
L,,,,70,,,,79
W,,,,72,,,,70
W,,26.0,,67,,25.0,,63
W,,,,70,,,,64
L,,,,73,,,,85
L,,24.0,,60,,18.0,,72
W,,,,58,,,,48
W,,,,69,,,,60
L,,,,70,,,,79
L,,,,76,,,,79
W,,,,95,,,,60
W,103.0,17.0,,80,92.0,33.0,,66
W,,26.0,,82,,26.0,,64
L,,,,74,,,,79
W,,31.0,,78,,27.0,,75
W,,22.0,,76,,15.0,,73
L,,,,60,,,,77
W,,,,70,,,,57
W,,,,106,,,,99
W,,20.0,,84,,26.0,,56
W,,28.0,,69,,32.0,,54
W,,23.0,,99,,36.0,,86
W,,,,75,,,,67
L,,28.0,,78,,36.0,,98
L,105.0,,,55,80.0,,,59
W,,,,75,,,,61
W,,36.0,,72,,34.0,,63
W,,,,78,,,,62
L,,25.0,,77,,20.0,,79
W,,,,72,,,,48
W,95.0,23.0,,70,90.0,19.0,,61
L,,,,57,,,,63
W,,,,82,,,,59
W,,,,81,,,,74
L,,,,54,,,,61
L,,20.0,,50,,28.0,,56
L,,17.0,,68,,18.0,,71
L,,,,58,,,,74
L,,26.0,,58,,28.0,,72
W,,,,69,,,,60
W,,,,72,,,,54
L,,32.0,,68,,28.0,,77
W,,35.0,,78,,34.0,,74
L,,28.0,,61,,29.0,,94
W,,,,75,,,,73
L,,,,60,,,,66
W,89.0,14.0,,62,90.0,17.0,,60
L,,,,69,,,,79
W,,44.0,,95,,30.0,,71
W,,,,66,,,,64
L,,19.0,,62,,21.0,,68
W,,,,54,,,,48
L,87.0,24.0,,60,91.0,27.0,,66
L,,,,78,,,,85
L,,,,62,,,,78
W,,,,108,,,,69
W,,27.0,,77,,29.0,,72
L,,26.0,,60,,27.0,,72
W,,24.0,,100,,26.0,,74
L,,,,71,,,,77
L,,,,57,,,,68
W,84.0,20.0,,67,110.0,24.0,,54
L,,,,64,,,,86
W,,21.0,,80,,26.0,,68
W,,18.0,,80,,28.0,,74
W,,24.0,,79,,30.0,,60
W,,,,86,,,,63
L,97.0,20.0,,78,97.0,27.0,,80
W,,22.0,,69,,20.0,,60
W,,37.0,,96,,40.0,,86
L,92.0,28.0,,74,111.0,23.0,,80
W,,33.0,,79,,29.0,,73
W,,,,78,,,,47
W,,18.0,,72,,23.0,,58
W,,35.0,,69,,32.0,,63
L,,38.0,,79,,42.0,,85
L,,,,75,,,,79
W,,,,84,,,,76
W,,,,78,,,,69
W,,,,82,,,,74
L,,30.0,,76,,29.0,,79
W,,30.0,,85,,30.0,,72
L,,,,73,,,,92
L,,28.0,,77,,32.0,,97
W,,31.0,,80,,26.0,,71
W,,34.0,,83,,25.0,,71
L,,23.0,,66,,27.0,,73
W,,25.0,,89,,27.0,,80
W,,38.0,,97,,28.0,,70
W,110.0,25.0,,94,96.0,34.0,,92
L,,25.0,,69,,30.0,,83
L,,,,56,,,,78
W,,26.0,,82,,26.0,,61
L,,21.0,,82,,26.0,,83
W,,32.0,,65,,36.0,,62
W,,25.0,,76,,28.0,,75
W,,35.0,,76,,20.0,,66
W,,33.0,,82,,25.0,,62
W,,29.0,,84,,23.0,,75
W,,19.0,,71,,23.0,,68
